station_id,name,language,valid_from,valid_to,name_type,source_id,notes
PL.STN.Zagnansk,Zagnańsk,ru,,,official,SRC.osm,
PL.STN.Zagnansk,Загнанськ,und,,,alt,SRC.osm,
PL.STN.Zagnansk,Загнаньск,und,,,alt,SRC.osm,
PL.STN.Znin_Potockiego,Żnin Potockiego,ru,,,official,SRC.osm,
PL.STN.Znin_Potockiego,Żnin Wąskotorowy,und,,,alt,SRC.osm,
PL.STN.Mszana_Dolna_Dworzec_Autobusowy,Mszana Dolna Dworzec Autobusowy,ru,,,official,SRC.osm,
PL.STN.Mszana_Dolna_Dworzec_Autobusowy,Мша Дольна,und,,,alt,SRC.osm,
PL.STN.Czernica_Wroclawska,Czernica Wrocławska,ru,,,official,SRC.osm,
PL.STN.Dobrzykowice_Wroclawskie,Dobrzykowice Wrocławskie,ru,,,official,SRC.osm,
PL.STN.Nadolice_Wielkie,Nadolice Wielkie,ru,,,official,SRC.osm,
PL.STN.Minkowice_Olawskie,Minkowice Oławskie,ru,,,official,SRC.osm,
PL.STN.Kopalina,Kopalina,ru,,,official,SRC.osm,
PL.STN.Borucice,Borucice,ru,,,official,SRC.osm,
PL.STN.Lipki,Lipki,ru,,,official,SRC.osm,
PL.STN.Kochanowice,Kochanowice,ru,,,official,SRC.osm,
PL.STN.Kochanowice,Кохановице,und,,,alt,SRC.osm,
PL.STN.Kochanowice,Кохановіце,und,,,alt,SRC.osm,
PL.STN.Kolobrzeg_Stadion,Kołobrzeg Stadion,ru,,,official,SRC.osm,
PL.STN.Koszalin_Waskotorowy,Koszalin Wąskotorowy,ru,,,official,SRC.osm,
PL.STN.Koszalin_Waskotorowy,Koesliner Kleinbahnhof,und,,,alt,SRC.osm,
PL.STN.Koszalin_Waskotorowy,Кошалин Вонскоторовы,und,,,alt,SRC.osm,
PL.STN.Koszalin_Waskotorowy,Кошалін Вонскоторови,und,,,alt,SRC.osm,
PL.STN.Piasek,Piasek,ru,,,official,SRC.osm,
PL.STN.Mielno_Koszalinskie,Mielno Koszalińskie,ru,,,official,SRC.osm,
PL.STN.Skrzyczne_-_gorna_stacja,Skrzyczne - górna stacja,ru,,,official,SRC.osm,
PL.STN.Skrzyczne_-_gorna_stacja,Rauhkogel,und,,,alt,SRC.osm,
PL.STN.Skrzyczne_-_gorna_stacja,Skrzyczne,und,,,alt,SRC.osm,
PL.STN.Chodziez,Chodzież,ru,,,official,SRC.osm,
PL.STN.Chodziez,Chodziesen,und,,,alt,SRC.osm,
PL.STN.Chodziez,Kolmar,und,,,alt,SRC.osm,
PL.STN.Chodziez,Ходзеж,und,,,alt,SRC.osm,
PL.STN.Lodygowice_Gorne,Łodygowice Górne,ru,,,official,SRC.osm,
PL.STN.Lodygowice,Łodygowice,ru,,,official,SRC.osm,
PL.STN.Warszawa_Mlynow,Warszawa Młynów,ru,,,official,SRC.osm,
PL.STN.Pruszcz_Pomorski,Pruszcz Pomorski,ru,,,official,SRC.osm,
